Title,Topic,Section
A value,Physical sciences,Stereochemistry
A-League Men,Everyday life,Association football
A-Mei,People,"Chinese languages (Mandarin, Cantonese and Taiwanese)"
A-ha,People,Popular music: General
A. A. K. Niazi,People,South Asia
A. A. Milne,People,UK and Ireland
A. Bruce Bielaski,People,Law enforcement and fire service
A. C. Bhaktivedanta Swami Prabhupada,People,Modern_6
A. C. Grayling,People,Europe
A. D. Hope,People,Oceania_3
A. E. Housman,People,UK and Ireland_2
A. E. van Vogt,People,US and Canada
A. J. Ayer,People,Europe
A. J. Foyt,People,Auto racing
A. J. Liebling,People,Journalists: General
A. J. P. Taylor,People,Modern_4
A. K. Fazlul Huq,People,Bangladesh
A. Maria Irudayam,People,Carrom
A. O. Scott,People,Critics
A. P. Elkin,People,Anthropologists and archaeologists
A. P. J. Abdul Kalam,People,India_2
A. Philip Randolph,People,United States_4
A. R. Rahman,People,Musical theatre and film
A. S. Byatt,People,UK and Ireland
A. S. Neill,People,Educators
A. S. W. Rosenbach,People,Media and communication
A/B testing,Mathematics,Statistics
AB InBev,Society and social sciences,Food and drinks
ABBA,People,Popular music
ABC islands (Leeward Antilles),Geography,Caribbean
ABO blood group system,Biology and health sciences,Human anatomy
AC Milan,Everyday life,Association football_2
AC adapter,Technology,Consumer electronics
AC power,Physical sciences,Electrodynamics
AC power plugs and sockets,Technology,Power transmission
AC/DC,People,Heavy metal and hard rock
ACARS,Technology,Aircraft components
AFC Ajax,Everyday life,Association football_2
AFL-CIO,Society and social sciences,Individual trade unions
AI alignment,Technology,Artificial intelligence concepts
AI boom,History,Contemporary: General
AK-47,Technology,Specific firearms
AKB48,People,Japanese_2
AKS primality test,Mathematics,Prime numbers
ALF (TV series),Arts,1980–1999
ALGOL,Technology,"Historical"" languages"
ALS,Biology and health sciences,Specific diseases
AM broadcasting,Technology,Broadcasting
AMD,Society and social sciences,"Computing, telecommunication, electronics, and software"
AND gate,Technology,Digital logic
ANZUS,Society and social sciences,Intergovernmental organizations
AOL,Society and social sciences,"Computing, telecommunication, electronics, and software"
API,Technology,Software development: General
ARD (broadcaster),Society and social sciences,German TV networks
ARINC 429,Technology,Aircraft components
ARM architecture family,Technology,Computer architecture concepts
ARPANET,Technology,Internet
ASCII,Technology,Software development: General
ASCII art,Arts,Digital art
ASEAN,Society and social sciences,Governmental organizations
ASML Holding,Society and social sciences,"Computing, telecommunication, electronics, and software"
AT&T,Society and social sciences,Companies: General
ATM,Society and social sciences,Banking and financing
ATP Tour,Everyday life,Sports leagues
ATPase,Biology and health sciences,Cell processes
ATSC standards,Technology,Broadcasting
AVE,Technology,High-speed rail
Aachen,Geography,Germany
Aachen Cathedral,Arts,Europe
Aage Bohr,People,Physics
Aalborg,Geography,Denmark
Aaliyah,People,"Blues, R&amp;B, Funk, Zydeco and Soul"
Aamir Khan,People,Asia
Aarathi,People,Asia_2
Aardvark,Biology and health sciences,Mammals
Aardwolf,Biology and health sciences,Other carnivora
Aare Gorge,Geography,Europe_5
Aargau,Geography,Switzerland
Aarhus,Geography,Denmark
Aaron,Philosophy and religion,Abrahamic and Judaic mythology
Aaron Beck,People,Psychologists
Aaron Burr,People,Other_4
Aaron Copland,People,20th century modern
Aaron Klug,People,Chemistry
Aaron Kwok,People,"Chinese languages (Mandarin, Cantonese and Taiwanese)"
Aaron McGruder,People,Animators and puppeteers
Aaron Montgomery Ward,People,Retail
Aaron Paul,People,Television
Aaron Sorkin,People,Screenwriters
Aaron Spelling,People,"Showrunners, television writers and producers"
Aaron Swartz,People,Computing_2
"Aba, Nigeria",Geography,Nigeria
Abacus,Technology,Basics_3
Abadan Crisis,History,Central Asia_2
"Abadan, Iran",Geography,Iran
Abakan,Geography,Siberia
Abalone,Biology and health sciences,Gastropods
Abanindranath Tagore,People,Indian
Abaoji,People,Eastern Asia_2
Abbas Kiarostami,People,Directors
Abbas ibn Abd al-Muttalib,People,Islam: General
Abbas ibn Firnas,People,Andalusia
Abbas the Great,People,"Central Asia, Iran, Caucasus_2"
Abbasid Caliphate,History,West Asia_2
Abbasid revolution,History,Western Asia_2
Abbey,Philosophy and religion,Institutions
Abbey Road,Arts,Rock_2
Abbott and Costello,People,United States_3
Abbreviation,Society and social sciences,Theoretical linguistics
Abby Aldrich Rockefeller,People,Socialites
Abby Lee Miller,People,Other dance
Abby Wambach,People,Others
Abbé Prévost,People,Western Europe
Abc conjecture,Mathematics,Prime numbers
Abd Allah al-Mahdi Billah,People,Africa_3
Abd Allah ibn Mas'ud,People,Islam: General
Abd Allah ibn Umar ibn al-Khattab,People,Islam: General
Abd Allah ibn al-Zubayr,People,Caliphates
Abd El-Razzak El-Sanhuri,People,Africa_2
Abd al-Malik ibn Marwan,People,Caliphates
Abd al-Mu'min,People,Africa_2
Abd al-Rahman I,People,Spain and Portugal
Abd al-Rahman III,People,Spain and Portugal
Abd al-Rahman al-Majdoub,People,Africa_2
Abd al-Rahman al-Sufi,People,Near East
Abd al-Rahman ibn Abd Allah al-Ghafiqi,People,Muslim World
Abd al-Rahman ibn Awf,People,Sunni Islam
Abd al-Samad,People,Indian
Abd el-Krim,People,Africa_4
Abdallah ibn Yasin,People,Sunni Islam
Abdallah ibn al-Mu'tazz,People,Asia_6
Abdel Fattah al-Burhan,People,Sudan
Abdel Fattah el-Sisi,People,Egypt_2
Abdel Halim Hafez,People,Arabic
Abdelaziz Bouteflika,People,Algeria
Abdomen,Biology and health sciences,Animal: General
Abdominal cavity,Biology and health sciences,Animal anatomy and morphology
Abdominal pain,Biology and health sciences,Symptoms and signs
Abdou Diouf,People,Senegal and the Gambia
Abdrabbuh Mansur Hadi,People,Yemen
Abdul Basit 'Abd us-Samad,People,Others_2
Abdul Ghaffar Khan,People,Southern Asia
Abdul Ghani Baradar,People,Afghanistan
Abdul Halim of Kedah,People,Malaysia
Abdul Hamid II,People,Western Asia_4
Abdul Hamid Khan Bhashani,People,Bangladesh
Abdul Qadeer Khan,People,Physics
Abdul Qadir Gilani,People,Sufism
Abdul Rahim Khan-i-Khanan,People,Asia_7
Abdul Salam Arif,People,Iraq
Abdul-Karim Qasim,People,Iraq
Abdulaziz bin Muhammad Al Saud,People,Western Asia_3
Abdullah Al-Salim Al-Sabah,People,Kuwait
Abdullah Gül,People,Turkey
Abdullah I of Jordan,People,Jordan
Abdullah II of Jordan,People,Jordan
Abdullah Ibrahim,People,Jazz and related genres
Abdullah al-Sallal,People,Yemen
Abdullah of Saudi Arabia,People,Saudi Arabia
Abdullah Öcalan,People,Western Asia
Abdulrazak Gurnah,People,Africa
Abdulsalami Abubakar,People,Nigeria
Abdurrahman Wahid,People,Indonesia
Abdus Salam,People,Physics
Abdülmecid I,People,Western Asia_4
Abe Saperstein,People,Basketball_2
Abebe Bikila,People,Athletics
Abedi Pele,People,Others_2
Abel Gance,People,Europe_4
Abel Tasman,People,Early modern_2
Abelian group,Mathematics,Algebra
Abelisauridae,Biology and health sciences,Theropods
Abeokuta,Geography,Nigeria
Aberdeen,Geography,Scotland
Aberdeen Angus,Biology and health sciences,Cattle
Abha,Geography,Saudi Arabia
Abhidharma,Philosophy and religion,Texts_3
Abhijit Banerjee,People,Economists and business theorists
Abhinavagupta,People,Post-classical
Abia State,Geography,Nigeria
Abida Parveen,People,Sufi music
Abidjan,Geography,Ivory Coast
Abies alba,Biology and health sciences,Pinophyta (Conifers)
Abies balsamea,Biology and health sciences,Pinophyta (Conifers)
Abies grandis,Biology and health sciences,Pinophyta (Conifers)
Abies nordmanniana,Biology and health sciences,Pinophyta (Conifers)
Abies procera,Biology and health sciences,Pinophyta (Conifers)
Abigail Adams,People,Other
Abimael Guzmán,People,Latin America
Abiod Valley,Geography,Africa_5
Abiogenesis,Biology and health sciences,Biology
Abiy Ahmed,People,Ethiopia and Eritrea
Abjad,Society and social sciences,Language: General
Abjuration,Society and social sciences,Basics
Abkhaz language,Society and social sciences,Specific languages: General
Abkhazia,Geography,"Unrecognized or largely unrecognized states, and disputed regions"
Ableism,Society and social sciences,Discrimination
Abner Doubleday,People,Baseball_2
Abolhassan Banisadr,People,Iran_2
Abolition of the han system,History,East Asia
Abolitionism,History,Modern: General
Aboriginal Australians,Society and social sciences,Ethnic groups
Abortion,Biology and health sciences,"Health, fitness, and medicine"
Abortion debate,Society and social sciences,Issues
Abortion law,Society and social sciences,Common law
Abraham,Philosophy and religion,Abrahamic religions
Abraham Accords,History,West Asia
Abraham Cowley,People,Europe_7
Abraham Flexner,People,Educators
Abraham Gottlob Werner,People,Germany and Switzerland
Abraham Isaac Kook,People,Judaism
Abraham Joshua Heschel,People,Judaism
Abraham Lincoln,People,Leaders and politicians
Abraham Maslow,People,Psychologists
Abraham Ortelius,People,Human geographers and cartographers
Abraham de Moivre,People,France
Abraham ibn Ezra,People,Judaism
Abrahamic religions,Philosophy and religion,Main branches
Abrar-ul-Haq,People,"Indian, Pakistani, Bangladeshi and Nepali languages"
Abrasion (geology),Physical sciences,Geomorphology: General
Abrasion (medicine),Biology and health sciences,Types
Abrasive,Technology,Material and chemical
Abruzzo,Geography,Italy
"Absalom, Absalom!",Arts,Literary fiction
Abscess,Biology and health sciences,Specific diseases
Abscisic acid,Biology and health sciences,Hormones
Absinthe,Everyday life,Alcoholic drinks
Absolute configuration,Physical sciences,Stereochemistry
Absolute convergence,Mathematics,Sequences and series
Absolute dating,Physical sciences,Geochronology
Absolute electrode potential,Physical sciences,Electrochemistry
Absolute magnitude,Physical sciences,Basics
Absolute monarchy,Society and social sciences,Forms of government
Absolute space and time,Physical sciences,Classical mechanics
Absolute value,Mathematics,Specific functions
Absolute zero,Physical sciences,Thermodynamics
Absolutely Fabulous,Arts,United Kingdom_2
Absorption (chemistry),Physical sciences,Other separations
Absorption (electromagnetic radiation),Physical sciences,Electromagnetic radiation
Absorption band,Physical sciences,Electromagnetic radiation
Absorption spectroscopy,Physical sciences,Analytical chemistry
Abstract algebra,Mathematics,Algebra
Abstract art,Arts,Artistic movements
Abstract data type,Mathematics,Data structures and types
Abstract expressionism,Arts,Modern art
Abstract machine,Mathematics,Discrete mathematics
Abstraction,Philosophy and religion,Concepts_3
Abstraction (computer science),Technology,Software development: General
Absurdism,Philosophy and religion,Philosophical schools and traditions
Abu Abdallah al-Shi'i,People,Post-classical_3
Abu Ayyub al-Ansari,People,Islam: General
Abu Bakr,People,Caliphates
Abu Bakr al-Baghdadi,People,Crimes against humanity
Abu Bakr al-Razi,People,Post-classical history
Abu Bakr ibn al-Arabi,People,Sunni Islam
Abu Dhabi,Geography,United Arab Emirates
Abu Hanifa,People,Sunni Islam
Abu Hanifa Dinawari,People,Near East
Abu Hurayra,People,Islam: General
Abu Mansur al-Maturidi,People,Sunni Islam
Abu Musa,Geography,Persian Gulf
Abu Musa al-Ash'ari,People,Islam: General
Abu Musab al-Zarqawi,People,Terrorism
Abu Muslim,People,Post-classical_10
Abu Nuwas,People,Asia_2
Abu Simbel,Arts,Africa
Abu Sufyan ibn Harb,People,Islam: General
Abu Tammam,People,Asia_6
Abu Ubayda ibn al-Jarrah,People,Muslim World
Abu al-Atahiya,People,Asia_6
Abu al-Darda,People,Islam: General
Abu al-Hasan al-Ash'ari,People,Sunni Islam
Abubakar Tafawa Balewa,People,Nigeria
Abugida,Society and social sciences,Language: General
Abuja,Geography,Nigeria
Abul Fazl,People,Early modern (AD 1500 to 1800)_2
"Abydos, Egypt",History,Africa_3
Abyssal plain,Physical sciences,Oceanic and coastal landforms
Abyssal zone,Physical sciences,Oceanography
Abyssinian cat,Biology and health sciences,Cats
Acacia,Biology and health sciences,Fabales
Acacia decurrens,Biology and health sciences,Fabales
Acacia melanoxylon,Biology and health sciences,Fabales
Acacia penninervis,Biology and health sciences,Fabales
Acacia pycnantha,Biology and health sciences,Fabales
Academic art,Arts,Pre-modern art
Academic conference,Society and social sciences,Communication
Academic degree,Society and social sciences,Education: General
Academic discipline,Physical sciences,Science basics
Academic dishonesty,Society and social sciences,Education: General
Academic freedom,Society and social sciences,Politics
Academic journal,Society and social sciences,Academic journals
Academic library,Society and social sciences,Education: General
Academic publishing,Society and social sciences,Mass media
Academic tenure,Society and social sciences,Employment
Academy,Society and social sciences,Education: General
Academy Awards,Arts,Film festival and awards
Academy of Motion Picture Arts and Sciences,Society and social sciences,National organizations
Academy of Television Arts & Sciences,Society and social sciences,Organizations
Acadia,History,Colonial empires
Acadia National Park,Geography,North America_4
Académie Française,Society and social sciences,National organizations
Acanthocephala,Biology and health sciences,Platyzoa
Acanthodii,Biology and health sciences,Fishes
Acanthosoma,Biology and health sciences,Hemiptera (true bugs)
Acanthostega,Biology and health sciences,Prehistoric amphibians
Acanthuridae,Biology and health sciences,Acanthomorpha
Acapulco,Geography,Mexico
Acaricide,Technology,Pest and disease control
Acariformes,Biology and health sciences,Arachnids
Acasta Gneiss,Physical sciences,Geologic features
Accelerating expansion of the universe,Physical sciences,Physical cosmology
Acceleration,Physical sciences,Classical mechanics
Accent (sociolinguistics),Society and social sciences,Basics_2
Accentor,Biology and health sciences,Passerida
Acceptance,Society and social sciences,Interpersonal relations
Access control,Society and social sciences,Institutions
Accessory (legal term),Society and social sciences,Inchoate offenses
Accident,Society and social sciences,Basics
Accidental (music),Arts,Musical notation
Accipiter,Biology and health sciences,Accipitriformes and Falconiformes
Accommodation (vertebrate eye),Biology and health sciences,Nervous system
Accordion,Arts,Musical instruments
Accountant,Society and social sciences,Common trades and professions
Accounting,Society and social sciences,Banking and finance: General
Accra,Geography,Ghana
Accretion (astrophysics),Physical sciences,Celestial mechanics
Accretion disk,Physical sciences,Basics_2
Accretionary wedge,Physical sciences,Tectonics
Acculturation,Society and social sciences,Anthropology: General
Accuracy and precision,Physical sciences,Measurement: General
Aceh,Geography,Indonesia
Aceh Sultanate,History,Eastern and Southeastern Asia
Acela,Technology,High-speed rail
Acer platanoides,Biology and health sciences,Sapindales
Acer pseudoplatanus,Biology and health sciences,Sapindales
Acer rubrum,Biology and health sciences,Sapindales
Acer saccharinum,Biology and health sciences,Sapindales
Acer saccharum,Biology and health sciences,Sapindales
Acetaldehyde,Physical sciences,Aldehydes and ketones
Acetate,Physical sciences,Acetates
Acetic acid,Physical sciences,Carbon–oxygen bond
Acetone,Physical sciences,Carbon–oxygen bond
Acetylcholine,Biology and health sciences,Neurotransmitters
Acetylene,Physical sciences,Aliphatic hydrocarbons
Achaemenid Empire,History,Ancient history
Achatina,Biology and health sciences,Gastropods
Achernar,Physical sciences,Notable stars
Acherontia lachesis,Biology and health sciences,Lepidoptera
Achill Island,Geography,British Isles
Achille Mbembe,People,"Political scientists, theorists, and writers"
Achillea,Biology and health sciences,Asterales
Achilles,Philosophy and religion,Greek mythological heroes
Achim von Arnim,People,Western Europe_2
Achromatopsia,Biology and health sciences,Disabilities
Aciclovir,Biology and health sciences,Antiviral drugs
Acid,Physical sciences,Inorganic compounds
Acid anhydride,Physical sciences,Concepts
Acid rain,Physical sciences,Precipitation
Acid salt,Physical sciences,Salts and ions: General
Acid strength,Physical sciences,Concepts
Acidity function,Physical sciences,Concepts
Acidobacteriota,Biology and health sciences,Gram-negative bacteria
Acid–base homeostasis,Biology and health sciences,Basics
Acid–base reaction,Physical sciences,Chemistry
Acne,Biology and health sciences,Non-infectious disease
Aconcagua,Geography,South America_6
Acorn,Biology and health sciences,Nuts
Acorus,Biology and health sciences,Acorales
Acorus calamus,Biology and health sciences,Acorales
Acoustic resonance,Physical sciences,Waves
Acoustics,Physical sciences,Waves
Acquittal,Society and social sciences,Criminal procedure
Acre,Physical sciences,Area
Acre (state),Geography,Brazil
Acre-foot,Physical sciences,Volume
Acrobatic gymnastics,Everyday life,Other individual sports
Acrobatics,Arts,Forms
Acromegaly,Biology and health sciences,Specific diseases
Acronym,Society and social sciences,Theoretical linguistics
Acropolis of Athens,Arts,Specific structures
Acrux,Physical sciences,Notable stars
Acrylic paint,Technology,Artist's and drafting tools
Act utilitarianism,Philosophy and religion,Approaches
Acteon Group,Geography,Oceania_3
Actin,Biology and health sciences,Cell parts
Acting,Arts,Theatre
Actinide,Physical sciences,Chemical element groups
Actinium,Physical sciences,Chemical elements_2
Actinomycetota,Biology and health sciences,Gram-positive bacteria
Actinopterygii,Biology and health sciences,Fishes
Action (firearms),Technology,Mechanisms_2
Action (physics),Physical sciences,Classical mechanics
Action Comics,Society and social sciences,Specific magazines
Action at a distance,Physical sciences,Physics basics: General
Action figure,Everyday life,Toys
Action film,Arts,Film genres
Action game,Everyday life,General video game topics
Action role-playing game,Everyday life,General video game topics
Action-adventure game,Everyday life,General video game topics
Activated carbon,Physical sciences,Group 14
Activated complex,Physical sciences,Kinetics
Activation energy,Physical sciences,Kinetics
Active Denial System,Technology,Less-lethal weapons
Active galactic nucleus,Physical sciences,Active galactic nucleus
Active optics,Technology,Telescope
Active transport,Biology and health sciences,Cell processes
Activism,Society and social sciences,Issues
Activity coefficient,Physical sciences,Thermodynamics
Activity space,Geography,Technical geography
Actor,Arts,Concepts
Acts of Union 1707,History,Western Europe_2
Acts of Union 1800,History,Western Europe_2
Acts of the Apostles,Philosophy and religion,Books of the Bible
Actuarial science,Society and social sciences,Business: General
Actuator,Technology,Components
Actus reus,Society and social sciences,Crime
Acupuncture,Biology and health sciences,Alternative and traditional medicine
Acute (medicine),Biology and health sciences,Disease: general classification
Acute medicine,Biology and health sciences,Fields of medicine
Acyl group,Physical sciences,Organic reactions
AdS/CFT correspondence,Physical sciences,Quantum mechanics
Ada (programming language),Technology,"Historical"" languages"
Ada Hegerberg,People,European
Ada Louise Huxtable,People,Critics
Ada Lovelace,People,Computer scientists
Ada Yonath,People,Chemistry
Ada and Minna Everleigh,People,Sex work
Adad-nirari II,People,Assyria
Adagio for Strings,Arts,20th century
Adagio in G minor,Arts,20th century
Adah Isaacs Menken,People,Stage_2
Adal Sultanate,History,Africa_5
Adam,Philosophy and religion,Abrahamic and Judaic mythology
Adam Ferguson,People,Early modern (AD 1500 to 1800)
Adam František Kollár,People,Anthropologists and archaeologists
Adam Gilchrist,People,Wicket-keepers
Adam Johann von Krusenstern,People,Modern
Adam Kadmon,Philosophy and religion,Judaism
Adam Krikorian,People,Water polo_2
Adam Kuper,People,Anthropologists and archaeologists
Adam Lindsay Gordon,People,Oceania_3
Adam Mickiewicz,People,Central Europe
Adam Ondra,People,Climbing and mountaineering
Adam Riess,People,Astronomy
Adam Sandler,People,United States_3
Adam Savage,People,United States_4
Adam Sedgwick,People,Earth science and physical geography
Adam Smith,People,Philosophers and social scientists
Adam Weishaupt,People,Early modern (AD 1500 to 1800)
Adam West,People,Television
Adam and Eve,Philosophy and religion,Abrahamic mythology
Adama Barrow,People,Senegal and the Gambia
Adamantane,Physical sciences,Aliphatic hydrocarbons
Adamawa State,Geography,Nigeria
Adams–Onís Treaty,History,United States_2
Adana,Geography,Turkey
Adansonia,Biology and health sciences,Others
Adansonia digitata,Biology and health sciences,Malvales
Adapazarı,Geography,Turkey
Adaptation,Biology and health sciences,Evolution
Adaptive immune system,Biology and health sciences,Immune system
Adaptive optics,Technology,Telescope
Adat,Philosophy and religion,Terms
Addax,Biology and health sciences,Bovidae
Adder,Biology and health sciences,Reptiles
Adder (electronics),Technology,Digital logic
Addiction,Biology and health sciences,Drugs and medication
Addis Ababa,Geography,Ethiopia
Addition,Mathematics,Basics
Addition principle,Mathematics,Combinatorics
Addition reaction,Physical sciences,Organic reactions
Additive function,Mathematics,Functions: General
Address,Geography,Human Geography
Adelaide,Geography,Australia
Adelaide Anne Procter,People,UK and Ireland_2
Adelaide Herrmann,People,Magicians
Adelaide Island,Geography,Antarctica_2
Adele,People,"Blues, R&amp;B, Funk, Zydeco and Soul"
Adelina Patti,People,Singers
Aden,Geography,Yemen
Adenine,Biology and health sciences,Nucleic acids
Adenosine triphosphate,Biology and health sciences,Biochemistry and molecular biology
Adhan,Philosophy and religion,Practices_3
Adhesive,Technology,Material and chemical
Adhesive bandage,Technology,Equipment
Adi Shamir,People,Computing_2
Adi Shankara,People,Religious figures
Adi ibn Zayd,People,Asia_6
Adiabatic process,Physical sciences,Thermodynamics
Adidas,Society and social sciences,Clothing and accessories
Adipocyte,Biology and health sciences,Tissues
Adipose tissue,Biology and health sciences,Tissues
Adirondack Mountains,Geography,North America_3
Aditya Chopra,People,Asia_5
Adivasi,Society and social sciences,Ethnic groups
Adjacency matrix,Mathematics,Graph theory
Adjara,Geography,Georgia
Adjective,Society and social sciences,Basics_2
Adjoint functors,Mathematics,Category theory
Administrative court,Society and social sciences,Administrative law
Administrative division,Geography,General
Administrative law,Society and social sciences,Subjects
Admiral,Society and social sciences,Military ranks
Admiralty Islands,Geography,Oceania_3
Admiralty law,Society and social sciences,International law
Adnan Khashoggi,People,Munitions and arms
Adnan Menderes,People,Turkey
Adobe,Technology,Building materials
Adobe Acrobat,Technology,Office and data management
Adobe Creative Suite,Technology,Multimedia_2
Adobe Flash,Technology,Multimedia_2
Adobe Inc.,Society and social sciences,"Computing, telecommunication, electronics, and software"
Adobe Photoshop,Technology,Multimedia_2
Adobe RGB color space,Physical sciences,Basics
Adolescence,Everyday life,Family and kinship
Adolescent sexuality,Everyday life,Sexuality and gender
Adolf Dassler,People,Recreation
Adolf Eichmann,People,Crimes against humanity
Adolf Erik Nordenskiöld,People,Modern
Adolf Galland,People,Germany
Adolf Hitler,People,Leaders and politicians
Adolf Loos,People,Architects
Adolf Wölfli,People,Modern era
Adolf von Baeyer,People,Chemistry
Adolfo Cambiaso,People,Polo
Adolfo Pérez Esquivel,People,South America
Adolfo Suárez,People,Iberia_3
Adolph Green,People,Musical theatre and film
Adolph Menzel,People,Modern era
Adolph Zukor,People,Producers and executives
Adolphe Pégoud,People,France_2
Adolphe Sax,People,Instrument makers
Adolphe Thiers,People,France_3
"Adolphe, Grand Duke of Luxembourg",People,Luxembourg
Adonis (poet),People,Asia_8
Adoption,Everyday life,Marriage and parenting
Adoration,Philosophy and religion,Practices
Adposition,Society and social sciences,Basics_2
Adrenal gland,Biology and health sciences,Animal: General
Adrenaline,Biology and health sciences,Biochemistry and molecular biology
Adrian Frutiger,People,Typeface designers
Adrian Willaert,People,Medieval and Renaissance
Adriana Caselotti,People,"Voice actors, radio announcers and narrators"
Adriana Lima,People,Models
Adriano Celentano,People,Italian
Adriatic Sea,Geography,Oceans and seas
Adrien Brody,People,United States
Adrien-Marie Legendre,People,France
Adsorption,Physical sciences,Other separations
Adult,Everyday life,Family and kinship
Adult contemporary music,Arts,Popular music: General
Adult movie theater,Everyday life,Sexuality and gender
Advaita Acharya,People,Post-classical
Advance Australia Fair,Arts,Anthems and patriotic songs
Advanced Audio Coding,Technology,File format
Adventure Time,Arts,Post-1999
Adventure fiction,Arts,Fiction
Adventure film,Arts,Film genres
Adventure game,Everyday life,General video game topics
Adventures of Huckleberry Finn,Arts,Fiction of modern era
Adverb,Society and social sciences,Basics_2
Adverse effect,Biology and health sciences,General concepts_2
Advertising,Society and social sciences,Business and economics: General
Advertising research,Society and social sciences,Marketing
Advocacy journalism,Society and social sciences,Journalism
Advocate,Society and social sciences,Professions
Adygea,Geography,Russia
Adze,Technology,Hand tools
Adzuki bean,Biology and health sciences,Pulses
Adélie Land,Geography,Antarctica
Aedes aegypti,Biology and health sciences,Flies (Diptera)
Aegean Islands,Geography,Greece
Aegean Sea,Geography,Oceans and seas
Aegean region,Geography,Turkey
Aeneas,Philosophy and religion,Greek mythological heroes
Aeneid,Arts,Poetic works of antiquity
Aeolian processes,Physical sciences,Aeolian landforms
Aeon,Physical sciences,Time
Aepycamelus,Biology and health sciences,Camelidae
Aerial application,Technology,Pest and disease control
Aerial refueling,Technology,Military aviation
Aerial root,Biology and health sciences,Plant anatomy and morphology: General
Aerial tramway,Technology,Rail and cable transport
Aerial warfare,Society and social sciences,Warfare by type
Aerobatics,Everyday life,Air sports
Aerobic exercise,Biology and health sciences,Physical fitness
Aerobics,Biology and health sciences,Physical fitness
Aerodynamics,Physical sciences,Fluid mechanics
Aeronautics,Technology,Concepts of aviation
Aerosmith,People,Heavy metal and hard rock
Aerosol,Physical sciences,Chemical mixtures: General
Aerospace engineering,Technology,Disciplines
Aerospace manufacturer,Society and social sciences,Business and economics: General
Aerostat,Technology,Types of aircraft
Aeschylus,People,Europe
Aesop,People,Europe
Aesop's Fables,Arts,Fiction of antiquity
Aesthetics,Philosophy and religion,Philosophical branches and concepts
Aestivation,Biology and health sciences,Ethology
Aetosauria,Biology and health sciences,Other prehistoric archosaurs
Afanasy Fet,People,Russia_2
Afar Region,Geography,Ethiopia
Afar language,Society and social sciences,Afroasiatic languages
Affection,Society and social sciences,Interpersonal relations
Affine geometry,Mathematics,Non-Euclidean geometry
Affine space,Mathematics,Other algebra topics
Affine transformation,Mathematics,Non-Euclidean geometry
Affinity (law),Everyday life,Family and kinship: General
Affirmation and negation,Society and social sciences,Grammar
Affirmative action,Society and social sciences,Discrimination
Afghan Civil War (1989–1992),History,Central Asia_2
Afghan Civil War (1992–1996),History,Central Asia_2
Afghan Civil War (1996–2001),History,Central Asia_2
Afghan Girl,Arts,Photographs
Afghan conflict,History,Central Asia and Iran_2
Afghan peace process,History,Contemporary: General
Afghanistan,Geography,South Asia
Afonso I of Kongo,People,Africa_3
Afonso I of Portugal,People,Spain and Portugal
Afonso III of Portugal,People,Iberia
Afonso de Albuquerque,People,Early modern_7
Afqa,Geography,Caves
Africa,Geography,Geography
African Americans,Society and social sciences,Americas_3
African Charter on Human and Peoples' Rights,Society and social sciences,Human rights instruments
African Development Bank,Society and social sciences,Intergovernmental organizations
African French,Society and social sciences,Romance languages
African Games,Everyday life,International competitions
African Great Lakes,Geography,Africa
